chr1_GL456221_random	136050	136150	B3-1-2	328	0.000220930765147902	+	Csprs, 
chr10	3157850	3157950	B3-10	145	0.0001070564209488	-	No results within 20000 bp window
chr10	3263650	3263750	N3-1	426	0.000480126591123744	+	H60c, 
chr10	3283650	3283750	B3-2-21	66	0.000108353389655206	-	H60c, 
chr10	3402550	3402650	N3-2-21	111	0.000145047225285782	-	Ppp1r14c, 
chr10	3417850	3417950	B3-2-22	165	0.000225344572336973	-	Ppp1r14c, 
chr10	3460550	3460650	N3-1	172	0.000193853928810526	-	Ppp1r14c, 
chr10	3493950	3494050	N3-2-21	86	0.000112378931302498	-	No results within 20000 bp window
chr10	3515250	3515350	N3-1-2	338	0.000224691912819538	+	No results within 20000 bp window
chr10	3533650	3533750	B3-8	436	0.000466100290671259	-	Iyd, 
chr10	3795150	3795250	B3-2-36	134	0.000107514889608686	-	Plekhg1, 
chr10	3812150	3812250	N3-8	218	0.000238670539406367	+	Plekhg1, 
chr10	3824150	3824250	N3-8	332	0.000363479904050064	-	Plekhg1, 
chr10	3824150	3824250	B3-8	111	0.000118663147395665	-	Plekhg1, 
chr10	4133050	4133150	B3-1-11	87	0.000110496816548613	+	Mthfd1l, 
chr10	4150150	4150250	B3-14	124	0.000335604073800418	-	Mthfd1l, 
chr10	4181150	4181250	B3-2-36	215	0.000172505233327369	-	Mthfd1l, 
chr10	4205350	4205450	B3-2-21	168	0.000275808628213253	+	No results within 20000 bp window
chr10	4244150	4244250	B3-21	433	0.000531452670028033	-	No results within 20000 bp window
chr10	4290050	4290150	B3-21	160	0.000196379739502276	+	Akap12, 
chr10	4326250	4326350	B3-1-11	498	0.000632499018864474	-	Akap12, 
chr10	4345750	4345850	B3-21	150	0.000184106005783383	-	Akap12, 
chr10	4395750	4395850	N3-2-21	1253	0.00163733489444221	+	Rmnd1, Gm5512, Zbtb2, 
chr10	4416450	4416550	N3-1-2	717	0.000476639353525469	+	Rmnd1, Gm5512, 1700052N19Rik, 
chr10	4449550	4449650	B3-1-13	59	0.000108255490296455	+	1700052N19Rik, Rmnd1, 
chr10	4549550	4549650	N3-2-2	287	0.000292564578278864	+	Ccdc170, 
chr10	4646950	4647050	B3-21	149	0.000182878632411494	-	Esr1, 
chr10	4647150	4647250	B3-18	79	0.000107861462191827	-	Esr1, 
chr10	4683650	4683750	N3-1-2	380	0.00025261220967877	+	Esr1, 
chr10	4737750	4737850	N3-21	873	0.0012431434869534	+	Esr1, 
chr10	4777550	4777650	N3-1-15	109	0.000135353284490252	+	Esr1, 
chr10	4968050	4968150	N3-1-3	367	0.000328564228039689	+	Esr1, 
chr10	5029950	5030050	B3-18	110	0.000150186846089885	+	Syne1, 
chr10	5080550	5080650	B3-1-11	91	0.000115577129953147	+	Syne1, Syne1, 
chr10	5116850	5116950	N3-21	212	0.000301885932685133	+	Syne1, 
chr10	5122450	5122550	B3-2-21	288	0.000472814791222719	+	Syne1, 
chr10	5179550	5179650	B3-2-37	1	0.00013374348000535	-	Syne1, 
chr10	5250550	5250650	B3-2-2	91	0.000144223302047971	+	No results within 20000 bp window
chr10	5353350	5353450	B3-2-7	85	0.000132114358188448	-	Syne1, 
chr10	5403350	5403450	B3-1-2	294	0.000198029405345986	+	Syne1, 
chr10	5529550	5529650	N3-10	249	0.000255824370918625	-	Syne1, 
chr10	5531850	5531950	B3-1-11	101	0.000128277913464482	-	Syne1, 
chr10	5733250	5733350	B3-1	68	0.000105977439273369	+	No results within 20000 bp window
chr10	5847150	5847250	B3-2-2	90	0.000142638430596894	+	Rgs17, 
chr10	5915650	5915750	B3-21	444	0.000544953777118815	+	Rgs17, 
chr10	6047650	6047750	B3-1-13	61	0.000111925167933623	-	No results within 20000 bp window
chr10	6058650	6058750	N3-4	122	0.000203987453099606	+	No results within 20000 bp window
chr10	6098750	6098850	B3-2-2	82	0.000129959458988281	+	No results within 20000 bp window
chr10	6098750	6098850	N3-18	191	0.000212172243871444	-	No results within 20000 bp window
chr10	6169350	6169450	N3-18	315	0.000349917574971229	-	No results within 20000 bp window
chr10	6312150	6312250	B3-2-2	131	0.000207618160091035	+	No results within 20000 bp window
chr10	6369950	6370050	B3-1	94	0.000146498224877892	+	No results within 20000 bp window
chr10	6386150	6386250	B3-21	216	0.000265112648328072	+	No results within 20000 bp window
chr10	6415250	6415350	B3-2-7	69	0.000107245773117681	+	No results within 20000 bp window
chr10	6480050	6480150	B3-1-2	350	0.000235749292078554	-	No results within 20000 bp window
chr10	6528350	6528450	B3-8	135	0.000144320044129862	-	No results within 20000 bp window
chr10	6683350	6683450	B3-14	124	0.000335604073800418	+	No results within 20000 bp window
chr10	6711750	6711850	B3-1-2	255	0.000171760198514375	+	No results within 20000 bp window
chr10	6720850	6720950	B3-2-2	65	0.000103016644319979	+	No results within 20000 bp window
